budget,genres,keywords,original_language,popularity,production_companies,release_date,runtime,title,vote_average,vote_count,castgrade,directorGrade,writerGrade,class
225000000,"['Adventure', 'Family', 'Fantasy']","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']",en,53.978602,"['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']",15/05/2008,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,2.0,2.0,1.0,2.0
220000000,"['Science Fiction', 'Action', 'Adventure']","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",en,144.448633,"['Paramount Pictures', 'Marvel Studios']",25/04/2012,143.0,The Avengers,7.4,11776,2.0,2.0,1.0,4.0
380000000,"['Adventure', 'Action', 'Fantasy']","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']",en,135.413856,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",14/05/2011,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,2.0,1.0,1.0,3.0
225000000,"['Action', 'Comedy', 'Science Fiction']","['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']",en,52.035179,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",23/05/2012,106.0,Men in Black 3,6.2,4160,2.0,2.0,2.0,3.0
250000000,"['Action', 'Adventure', 'Fantasy']","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']",en,120.96574299999999,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']",10/12/2014,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,2.0,2.0,2.0,4.0
215000000,"['Action', 'Adventure', 'Fantasy']","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']",en,89.866276,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",27/06/2012,136.0,The Amazing Spider-Man,6.5,6586,2.0,2.0,1.0,4.0
200000000,"['Action', 'Adventure']","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']",en,37.668301,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']",12/05/2010,140.0,Robin Hood,6.2,1398,2.0,2.0,1.0,2.0
250000000,"['Adventure', 'Fantasy']","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']",en,94.370564,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",11/12/2013,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,2.0,2.0,1.0,4.0
180000000,"['Adventure', 'Fantasy']","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']",en,42.990906,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']",04/12/2007,113.0,The Golden Compass,5.8,1303,1.0,1.0,1.0,3.0
207000000,"['Adventure', 'Drama', 'Action']","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']",en,61.226009999999995,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']",14/12/2005,187.0,King Kong,6.6,2337,2.0,2.0,1.0,3.0
200000000,"['Drama', 'Romance', 'Thriller']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']",en,100.025899,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",18/11/1997,194.0,Titanic,7.5,7562,2.0,2.0,1.0,4.0
250000000,"['Adventure', 'Action', 'Science Fiction']","['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",en,198.37239499999998,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",27/04/2016,147.0,Captain America: Civil War,7.1,7241,2.0,2.0,1.0,4.0
209000000,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']",en,64.928382,"['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",11/04/2012,131.0,Battleship,5.5,2114,0.0,2.0,1.0,2.0
150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']",en,418.708552,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",09/06/2015,124.0,Jurassic World,6.5,8662,2.0,2.0,1.0,4.0
200000000,"['Action', 'Adventure', 'Thriller']","['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']",en,93.004993,['Columbia Pictures'],25/10/2012,143.0,Skyfall,6.9,7604,2.0,2.0,2.0,4.0
200000000,"['Action', 'Adventure', 'Fantasy']","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']",en,35.149586,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",25/06/2004,127.0,Spider-Man 2,6.7,4321,2.0,2.0,1.0,4.0
200000000,"['Action', 'Adventure', 'Science Fiction']","['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']",en,77.68208,['Marvel Studios'],18/04/2013,130.0,Iron Man 3,6.8,8806,2.0,2.0,1.0,4.0
200000000,"['Family', 'Fantasy', 'Adventure']","['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']",en,78.530105,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",03/03/2010,108.0,Alice in Wonderland,6.4,4645,2.0,2.0,1.0,4.0
210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']","['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']",en,3.857526,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Major Studio Partners', 'Bad Hat Harry Productions', 'thinkfilm', 'Marvel Enterprises', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service']",24/05/2006,104.0,X-Men: The Last Stand,6.3,3525,2.0,1.0,1.0,3.0
200000000,"['Animation', 'Family']","['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']",en,89.186492,"['Walt Disney Pictures', 'Pixar Animation Studios']",20/06/2013,104.0,Monsters University,7.0,3528,2.0,2.0,1.0,4.0
150000000,"['Science Fiction', 'Action', 'Adventure']","['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']",en,21.939663,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",19/06/2009,150.0,Transformers: Revenge of the Fallen,6.0,3138,1.0,2.0,1.0,4.0
210000000,"['Science Fiction', 'Action', 'Adventure']","['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']",en,116.840296,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",25/06/2014,165.0,Transformers: Age of Extinction,5.8,3095,0.0,2.0,1.0,4.0
200000000,"['Fantasy', 'Adventure', 'Family']","['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magic trick', 'wizard', '3d']",en,46.985445,"['Walt Disney Pictures', 'Roth Films']",07/03/2013,130.0,Oz: The Great and Powerful,5.7,3530,0.0,2.0,1.0,3.0
200000000,"['Action', 'Adventure', 'Fantasy']","['obsession', 'marvel comic', 'sequel', 'based on comic book', 'electrocution', 'medical experiment', 'electricity', 'super powers']",en,89.270217,"['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']",16/04/2014,142.0,The Amazing Spider-Man 2,6.5,4179,2.0,2.0,1.0,4.0
170000000,"['Adventure', 'Action', 'Science Fiction']","['artificial intelligence', 'secret identity', 'computer program', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neon light', 'autocracy']",en,73.79505,"['Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",10/12/2010,125.0,TRON: Legacy,6.3,2841,2.0,2.0,1.0,3.0
200000000,"['Animation', 'Family', 'Adventure', 'Comedy']","['car race', 'sequel', 'comedy', 'anthropomorphism', 'best friend', 'duringcreditsstinger']",en,49.98659,"['Walt Disney Pictures', 'Pixar Animation Studios']",11/06/2011,106.0,Cars 2,5.8,2033,0.0,0.0,1.0,3.0
200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['dc comics', 'transformation', 'superhero', 'alien', 'alien infection', 'magical object', 'protector', 'super powers', 'origin', '3d']",en,51.872839,"['De Line Pictures', 'Warner Bros.', 'DC Entertainment']",16/06/2011,114.0,Green Lantern,5.1,2487,1.0,1.0,1.0,1.0
200000000,"['Animation', 'Family', 'Comedy']","['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'day care', 'teddy bear', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects coming to life', 'toy story']",en,59.99541800000001,"['Walt Disney Pictures', 'Pixar Animation Studios']",16/06/2010,103.0,Toy Story 3,7.6,4597,2.0,2.0,1.0,4.0
200000000,"['Action', 'Science Fiction', 'Thriller']","['saving the world', 'artificial intelligence', 'prophecy', 'san francisco', 'cyborg', 'killer robot', 'gas station', 'post-apocalyptic', 'dystopia', 'army', 'firearm', 'wartime', 'los angeles']",en,71.862892,"['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']",20/05/2009,115.0,Terminator Salvation,5.9,2463,1.0,0.0,0.0,2.0
190000000,['Action'],"['car race', 'speed', 'revenge', 'suspense', 'car', 'race', 'muscle car']",en,102.32221700000001,"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Qu?®bec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']",01/04/2015,137.0,Furious 7,7.3,4176,2.0,2.0,2.0,4.0
200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","['dystopia', 'apocalypse', 'zombie', 'nuclear weapons', 'multiple perspectives', 'zombie apocalypse']",en,81.834855,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX??']",20/06/2013,116.0,World War Z,6.7,5560,2.0,2.0,1.0,3.0
250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['1970s', 'mutant', 'time travel', 'marvel comic', 'based on comic book', 'superhuman', 'storm', 'beast', 'aftercreditsstinger', 'changing the past or future']",en,118.07869099999999,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Down Productions', 'Revolution Sun Studios']",15/05/2014,131.0,X-Men: Days of Future Past,7.5,6032,2.0,2.0,1.0,3.0
190000000,"['Action', 'Adventure', 'Science Fiction']","['spacecraft', 'friendship', 'sequel', 'futuristic', 'space', 'alien', 'imax', 'space opera', 'terrorist bombing', '3d']",en,78.29101800000002,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",05/05/2013,132.0,Star Trek Into Darkness,7.4,4418,2.0,2.0,1.0,3.0
195000000,"['Action', 'Family', 'Fantasy']","['based on fairy tale', 'giant']",en,43.349855,"['New Line Cinema', 'Original Film', 'Legendary Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Bad Hat Harry Productions']",27/02/2013,114.0,Jack the Giant Slayer,5.5,2598,1.0,2.0,1.0,1.0
105000000,"['Drama', 'Romance']","['based on novel', 'infidelity', 'obsession', 'hope', '3d']",en,61.196070999999996,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']",10/05/2013,143.0,The Great Gatsby,7.3,3769,2.0,2.0,1.0,4.0
150000000,"['Adventure', 'Fantasy', 'Action', 'Romance']","['persia', 'sandstorm', 'brother against brother', 'armageddon', 'regent', 'based on video game']",en,62.169881000000004,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",19/05/2010,116.0,Prince of Persia: The Sands of Time,6.2,2317,2.0,2.0,1.0,3.0
180000000,"['Action', 'Science Fiction', 'Adventure']","['dystopia', 'giant robot', 'giant monster', 'apocalypse', 'imax', 'duringcreditsstinger', '3d']",en,56.523205000000004,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']",11/07/2013,131.0,Pacific Rim,6.7,4794,2.0,2.0,1.0,3.0
195000000,"['Action', 'Science Fiction', 'Adventure']","['moon', 'spacecraft', 'traitor', 'bodyguard', 'alien planet', 'based on cartoon', 'transformers', 'giant robot', 'sabotage', 'word domination', 'commando', 'duringcreditsstinger']",en,28.529607000000002,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",28/06/2011,154.0,Transformers: Dark of the Moon,6.1,3299,2.0,2.0,1.0,4.0
185000000,"['Adventure', 'Action']","['saving the world', 'riddle', 'whip', 'treasure', 'mexico city', 'leather jacket', 'machinegun', 'alien phenomenons', 'maya civilization', 'peru', 'treasure hunt', 'nuclear explosion', 'refrigerator', 'archaeologist', 'indiana jones', 'archeology\xa0']",en,75.674458,"['Lucasfilm', 'Paramount Pictures']",21/05/2008,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,0.0,2.0,1.0,4.0
175000000,"['Adventure', 'Animation', 'Family']","['tyrannosaurus rex', 'friends', 'alternate history', 'dinosaur', 'fear', 'storm', 'nature', 'human', 'journey']",en,51.692953,"['Walt Disney Pictures', 'Pixar Animation Studios']",14/11/2015,93.0,The Good Dinosaur,6.6,1736,2.0,2.0,1.0,2.0
185000000,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'bear', 'scot', 'rebellious daughter', 'turns into animal', 'archery', 'ruins', 'aftercreditsstinger', 'peace offering', 'woman director', 'courage', '3d']",en,125.114374,"['Walt Disney Pictures', 'Pixar Animation Studios']",21/06/2012,93.0,Brave,6.7,4641,2.0,2.0,1.0,3.0
185000000,"['Action', 'Adventure', 'Science Fiction']","['sequel', 'stranded', 'hatred', 'space opera']",en,65.352913,"['Paramount Pictures', 'Bad Robot', 'Perfect Storm Entertainment', 'Alibaba Pictures Group', 'Skydance Media', 'Sneaky Shark', 'Huahua Media']",07/07/2016,122.0,Star Trek Beyond,6.6,2568,2.0,2.0,1.0,2.0
180000000,"['Animation', 'Family']",['romantic comedy'],en,66.390712,"['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']",22/06/2008,98.0,WALL?ÀE,7.8,6296,2.0,2.0,1.0,3.0
140000000,"['Action', 'Comedy', 'Crime', 'Thriller']",['ambassador'],en,22.57178,['New Line Cinema'],08/08/2007,91.0,Rush Hour 3,6.1,783,2.0,1.0,1.0,2.0
200000000,"['Action', 'Adventure', 'Science Fiction']","['civilization', 'natural disaster', 'end of the world', 'disaster', 'apocalypse', 'destruction', 'volcanic eruption', 'mayan', 'ark', 'solar', 'destruction  of mankind']",en,45.274225,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']",10/10/2009,158.0,2012,5.6,4903,0.0,1.0,0.0,4.0
200000000,"['Animation', 'Drama']","['holiday', 'based on novel', 'victorian england', 'money', 'christmas eve', 'scrooge', 'christmas carol', 'ghost', 'lesson', 'charles dickens', 'christmas']",en,39.744242,"['Walt Disney', 'ImageMovers']",04/11/2009,96.0,A Christmas Carol,6.6,1095,2.0,2.0,1.0,2.0
176000003,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","['jupiter', 'space', 'woman director', '3d', 'interspecies romance']",en,85.36908000000003,"['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",04/02/2015,124.0,Jupiter Ascending,5.2,2768,0.0,2.0,0.0,1.0
180000000,"['Action', 'Adventure']","['africa', 'feral child', 'tarzan', 'jungle', 'animal attack']",en,42.741719,"['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Jerry Weintraub Productions', 'RatPac-Dune Entertainment', 'Beagle Pug Films', 'Riche Productions', 'Village Roadshow Films North America']",29/06/2016,109.0,The Legend of Tarzan,5.5,2430,0.0,2.0,0.0,2.0
180000000,"['Adventure', 'Family', 'Fantasy']","['saving the world', 'witch', 'based on novel', 'brother sister relationship', 'self sacrifice', 'winter', 'cupboard', 'beaver', 'lion', 'fairy-tale figure', 'battle', 'narnia', 'fantasy world', 'duringcreditsstinger']",en,67.391328,"['Walt Disney', 'Walden Media']",07/12/2005,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,2.0,2.0,1.0,4.0
178000000,['Science Fiction'],"['mutant', 'supernatural powers', 'marvel comic', 'superhero', 'based on comic book', 'superhuman', 'apocalypse', 'superhero team', 'world domination', 'aftercreditsstinger', '1980s']",en,139.272042,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Kinberg Genre']",18/05/2016,144.0,X-Men: Apocalypse,6.4,4721,2.0,2.0,2.0,4.0
185000000,"['Drama', 'Action', 'Crime', 'Thriller']","['dc comics', 'crime fighter', 'secret identity', 'scarecrow', 'sadism', 'chaos', 'gotham city', 'vigilante', 'joker', 'superhero', 'based on comic book', 'tragic hero', 'organized crime', 'criminal mastermind', 'district attorney', 'imax', 'super villain', 'super powers', 'batman']",en,187.322927,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",16/07/2008,152.0,The Dark Knight,8.2,12002,2.0,2.0,1.0,4.0
175000000,"['Animation', 'Comedy', 'Family', 'Adventure']","['age difference', 'central and south america', 'balloon', 'animation', 'floating in the air', 'duringcreditsstinger', 'exploring']",en,92.201962,['Pixar Animation Studios'],13/05/2009,96.0,Up,7.7,6870,2.0,2.0,1.0,4.0
175000000,"['Animation', 'Family', 'Adventure', 'Science Fiction']","['alien', 'giant robot', 'duringcreditsstinger']",en,36.167578000000006,['DreamWorks Animation'],19/03/2009,94.0,Monsters vs Aliens,6.0,1423,1.0,0.0,1.0,3.0
140000000,"['Action', 'Science Fiction', 'Adventure']","['middle east', 'arms dealer', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'counter terrorism', 'agent coulson']",en,120.725053,['Marvel Studios'],30/04/2008,126.0,Iron Man,7.4,8776,2.0,2.0,1.0,4.0
170000000,"['Adventure', 'Drama', 'Family']","['library', 'clock', 'film director', 'key', 'toy', 'boy', 'love', 'orphan', 'robot', 'automaton', 'hiding', 'filmmaking', 'leg brace', 'doberman', '3d']",en,32.319043,"['Paramount Pictures', 'Infinitum Nihil', 'GK Films']",22/11/2011,126.0,Hugo,7.0,2141,2.0,2.0,2.0,1.0
170000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']","['steampunk', 'based on tv series', 'steam locomotive', 'drag']",en,40.748915000000004,"['Todman, Simon, LeMasters Productions', 'Warner Bros.', 'Peters Entertainment', 'Sonnenfeld Josephson Worldwide Entertainment']",29/06/1999,106.0,Wild Wild West,5.1,1020,0.0,2.0,1.0,2.0
